Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0
Decision Tree,1.0,1.0,1.0,1.0,1.0,1.0
kNN,0.9987692307692307,1.0,1.0,0.9974457215836526,0.9987212276214834,0.997538022397975
Naive Bayes,0.9495384615384616,0.9961465888855519,0.9070847851335656,0.9974457215836526,0.9501216545012166,0.9034498426666032
Random Forest (Ensemble),1.0,1.0,1.0,1.0,1.0,1.0
